名称,日期,时间,数值
内河侧水位,2023/04/01,0:00:00,3.5
长江侧水位,2023/04/01,0:00:00,2.7
内河侧水位,2023/04/01,13:00:00,3.5
长江侧水位,2023/04/01,13:00:00,3.1
内河侧水位,2023/04/02,11:00:00,3.5
长江侧水位,2023/04/02,11:00:00,2.9
内河侧水位,2023/04/02,12:00:00,3.5
长江侧水位,2023/04/02,12:00:00,2.9
内河侧水位,2023/04/01,1:00:00,3.5
长江侧水位,2023/04/01,1:00:00,2.8
内河侧水位,2023/04/01,2:00:00,3.5
长江侧水位,2023/04/01,2:00:00,2.8
内河侧水位,2023/04/01,3:00:00,3.5
长江侧水位,2023/04/01,3:00:00,3.0
内河侧水位,2023/04/01,5:00:00,3.5
长江侧水位,2023/04/01,5:00:00,3.3
内河侧水位,2023/04/01,6:00:00,3.5
长江侧水位,2023/04/01,6:00:00,3.3
内河侧水位,2023/04/01,8:00:00,3.5
长江侧水位,2023/04/01,8:00:00,3.1
内河侧水位,2023/04/01,9:00:00,3.5
长江侧水位,2023/04/01,9:00:00,3.0
内河侧水位,2023/04/01,4:00:00,3.5
长江侧水位,2023/04/01,4:00:00,3.2
内河侧水位,2023/04/01,7:00:00,3.5
长江侧水位,2023/04/01,7:00:00,3.2
内河侧水位,2023/04/01,10:00:00,3.5
长江侧水位,2023/04/01,10:00:00,2.9
内河侧水位,2023/04/01,11:00:00,3.5
长江侧水位,2023/04/01,11:00:00,2.8
内河侧水位,2023/04/01,12:00:00,3.6
长江侧水位,2023/04/01,12:00:00,2.9
内河侧水位,2023/04/01,14:00:00,3.5
长江侧水位,2023/04/01,14:00:00,3.4
内河侧水位,2023/04/01,15:00:00,3.5
长江侧水位,2023/04/01,15:00:00,3.7
内河侧水位,2023/04/01,16:00:00,3.5
长江侧水位,2023/04/01,16:00:00,4.0
内河侧水位,2023/04/01,17:00:00,3.6
长江侧水位,2023/04/01,17:00:00,3.9
内河侧水位,2023/04/01,18:00:00,3.6
长江侧水位,2023/04/01,18:00:00,3.6
内河侧水位,2023/04/01,20:00:00,3.5
长江侧水位,2023/04/01,20:00:00,3.3
内河侧水位,2023/04/01,21:00:00,3.5
长江侧水位,2023/04/01,21:00:00,3.1
内河侧水位,2023/04/01,22:00:00,3.5
长江侧水位,2023/04/01,22:00:00,3.0
内河侧水位,2023/04/02,0:00:00,3.5
长江侧水位,2023/04/02,0:00:00,2.7
内河侧水位,2023/04/02,1:00:00,3.5
长江侧水位,2023/04/02,1:00:00,2.7
内河侧水位,2023/04/02,2:00:00,3.5
长江侧水位,2023/04/02,2:00:00,2.8
内河侧水位,2023/04/02,3:00:00,3.5
长江侧水位,2023/04/02,3:00:00,3.2
内河侧水位,2023/04/02,4:00:00,3.5
长江侧水位,2023/04/02,4:00:00,3.6
内河侧水位,2023/04/01,19:00:00,3.6
长江侧水位,2023/04/01,19:00:00,3.5
内河侧水位,2023/04/01,23:00:00,3.5
长江侧水位,2023/04/01,23:00:00,2.9
内河侧水位,2023/04/02,5:00:00,3.4
长江侧水位,2023/04/02,5:00:00,3.7
内河侧水位,2023/04/02,6:00:00,3.5
长江侧水位,2023/04/02,6:00:00,3.7
内河侧水位,2023/04/02,7:00:00,3.5
长江侧水位,2023/04/02,7:00:00,3.5
内河侧水位,2023/04/02,8:00:00,3.5
长江侧水位,2023/04/02,8:00:00,3.3
内河侧水位,2023/04/02,9:00:00,3.4
长江侧水位,2023/04/02,9:00:00,3.2
内河侧水位,2023/04/02,10:00:00,3.5
长江侧水位,2023/04/02,10:00:00,3.1
内河侧水位,2023/04/02,13:00:00,3.5
长江侧水位,2023/04/02,13:00:00,2.8
内河侧水位,2023/04/02,14:00:00,3.5
长江侧水位,2023/04/02,14:00:00,3.2
内河侧水位,2023/04/02,15:00:00,3.8
长江侧水位,2023/04/02,15:00:00,3.8
内河侧水位,2023/04/02,16:00:00,4.1
长江侧水位,2023/04/02,16:00:00,4.1
内河侧水位,2023/04/02,17:00:00,4.3
长江侧水位,2023/04/02,17:00:00,4.3
内河侧水位,2023/04/02,18:00:00,4.2
长江侧水位,2023/04/02,18:00:00,4.2
内河侧水位,2023/04/02,19:00:00,3.9
长江侧水位,2023/04/02,19:00:00,3.9
内河侧水位,2023/04/02,20:00:00,3.7
长江侧水位,2023/04/02,20:00:00,3.6
内河侧水位,2023/04/02,21:00:00,3.7
长江侧水位,2023/04/02,21:00:00,3.4
内河侧水位,2023/04/02,22:00:00,3.6
长江侧水位,2023/04/02,22:00:00,3.3
内河侧水位,2023/04/02,23:00:00,3.6
长江侧水位,2023/04/02,23:00:00,3.1
内河侧水位,2023/04/03,0:00:00,3.6
长江侧水位,2023/04/03,0:00:00,3.0
内河侧水位,2023/04/03,11:00:00,3.7
长江侧水位,2023/04/03,11:00:00,3.2
内河侧水位,2023/04/03,12:00:00,3.7
长江侧水位,2023/04/03,12:00:00,3.1
内河侧水位,2023/04/03,14:00:00,3.6
长江侧水位,2023/04/03,14:00:00,3.1
内河侧水位,2023/04/03,15:00:00,3.7
长江侧水位,2023/04/03,15:00:00,3.8
内河侧水位,2023/04/03,16:00:00,3.7
长江侧水位,2023/04/03,16:00:00,4.3
内河侧水位,2023/04/03,17:00:00,3.8
长江侧水位,2023/04/03,17:00:00,4.7
内河侧水位,2023/04/03,18:00:00,3.8
内河侧水位,2023/04/03,1:00:00,3.6
长江侧水位,2023/04/03,1:00:00,2.8
内河侧水位,2023/04/03,2:00:00,3.7
长江侧水位,2023/04/03,2:00:00,2.8
内河侧水位,2023/04/03,3:00:00,3.6
长江侧水位,2023/04/03,3:00:00,3.2
内河侧水位,2023/04/03,4:00:00,3.7
长江侧水位,2023/04/03,4:00:00,3.8
内河侧水位,2023/04/03,5:00:00,3.9
长江侧水位,2023/04/03,5:00:00,4.1
内河侧水位,2023/04/03,6:00:00,4.1
长江侧水位,2023/04/03,6:00:00,4.2
内河侧水位,2023/04/03,7:00:00,4.0
长江侧水位,2023/04/03,7:00:00,4.0
内河侧水位,2023/04/03,8:00:00,3.7
长江侧水位,2023/04/03,8:00:00,3.7
内河侧水位,2023/04/03,9:00:00,3.7
长江侧水位,2023/04/03,9:00:00,3.5
内河侧水位,2023/04/03,10:00:00,3.7
长江侧水位,2023/04/03,10:00:00,3.4
内河侧水位,2023/04/03,13:00:00,3.7
长江侧水位,2023/04/03,13:00:00,3.0
内河侧水位,2023/04/04,8:00:00,3.9
长江侧水位,2023/04/04,8:00:00,4.2
内河侧水位,2023/04/04,9:00:00,3.9
长江侧水位,2023/04/04,9:00:00,3.9
内河侧水位,2023/04/04,10:00:00,3.9
