feature,importance
长江水位_1小时前,0.544808329865628
长江水位_12小时前,0.16123489443944614
运河水位_1小时前,0.08402070199933319
潮位_6小时前,0.04238437101377209
运河水位_2小时前,0.029718265978230803
运河水位_11小时前,0.024139263874214417
潮位_5小时前,0.018211625785368345
运河水位_12小时前,0.016669417424086806
长江水位_11小时前,0.01141648635344735
当前节制闸流量,0.008801624099032195
长江水位_10小时前,0.006956205711917798
运河水位_3小时前,0.005681327915490481
长江水位_2小时前,0.004572703627181698
潮位_8小时前,0.004383963021616855
当前抽水站流量,0.004147799175660484
运河水位_10小时前,0.0034207091025049543
运河水位_4小时前,0.0031859642473504152
运河水位_9小时前,0.0029009810540389113
长江水位_9小时前,0.0028087051041211213
潮位_7小时前,0.002748244029945286
长江水位_3小时前,0.002426512769253933
长江水位_8小时前,0.0023441024766501194
运河水位_5小时前,0.0019395042300162206
运河水位_8小时前,0.0018376752667049027
长江水位_6小时前,0.001681032246049857
运河水位_6小时前,0.0016359649142273765
长江水位_4小时前,0.0015822183029968735
长江水位_7小时前,0.0015482704559892412
长江水位_5小时前,0.0015005168071607461
运河水位_7小时前,0.0012926187085633136
