真实值_第1小时,预测值_第1小时,真实值_第2小时,预测值_第2小时,真实值_第3小时,预测值_第3小时
4.9,4.6957407,4.9,4.6520176,4.7,4.5639935
4.9,4.6491947,4.7,4.5677624,4.6,4.4475675
4.7,4.606724,4.6,4.4990406,4.5,4.359538
4.6,4.511969,4.5,4.4149146,4.4,4.302859
4.5,4.406957,4.4,4.304372,4.3,4.2091837
4.4,4.369957,4.3,4.269885,4.2,4.1807323
4.3,4.2733006,4.2,4.190997,4.2,4.1303654
4.2,4.158997,4.2,4.161969,4.6,4.2858844
4.2,4.2637877,4.6,4.4718924,4.9,4.643128
4.6,4.3762937,4.9,4.5738654,5.1000004,4.709132
4.9,4.6936493,5.1000004,4.8366494,5.2,4.905215
5.1000004,4.846322,5.2,4.8726163,5.1000004,4.88579
5.2,4.9078355,5.1000004,4.87124,5.0,4.813269
5.1000004,4.8696566,5.0,4.795741,4.8,4.701296
5.0,4.7995048,4.8,4.7257943,4.7,4.6254826
4.8,4.739876,4.7,4.6723967,4.6,4.5729737
4.7,4.5764227,4.6,4.5043736,4.5,4.403503
4.6,4.5090313,4.5,4.428108,4.4,4.3204675
4.5,4.4156923,4.4,4.328999,4.3,4.2424936
4.4,4.309483,4.3,4.265904,4.4,4.242736
4.3,4.236911,4.4,4.336125,4.6,4.4501176
4.4,4.3398533,4.6,4.520741,4.8,4.6648707
4.6,4.4826326,4.8,4.643531,5.0,4.732568
4.8,4.621612,5.0,4.7033963,5.0,4.7307124
5.0,4.7579074,5.0,4.7412524,4.9,4.6855483
5.0,4.7443843,4.9,4.698363,4.7,4.613984
4.9,4.7017193,4.7,4.6248026,4.6,4.508277
4.7,4.6282063,4.6,4.536509,4.5,4.411983
4.6,4.5166197,4.5,4.428194,4.4,4.318701
4.5,4.412305,4.4,4.3192163,4.3,4.231505
4.4,4.329461,4.3,4.237312,4.2,4.165125
4.3,4.26247,4.2,4.2123947,4.3,4.179839
4.2,4.1592665,4.3,4.202022,4.5,4.3797684
4.3,4.279813,4.5,4.5107274,4.8,4.6903386
4.5,4.4654827,4.8,4.6817093,4.9,4.815416
4.8,4.652799,4.9,4.7802944,4.9,4.8360653
4.9,4.7786684,4.9,4.816221,4.8,4.824992
4.9,4.7611847,4.8,4.739609,4.7,4.6840663
4.8,4.7244506,4.7,4.687178,4.7,4.6146855
4.7,4.6425343,4.7,4.597363,4.6,4.5188003
4.7,4.5499997,4.6,4.5018744,4.4,4.424655
4.6,4.5085945,4.4,4.4542146,4.4,4.373179
4.4,4.4324327,4.4,4.358025,4.3,4.2678685
4.4,4.296025,4.3,4.203441,4.2,4.1231866
4.3,4.255174,4.2,4.2125406,4.3,4.186077
4.2,4.1676764,4.3,4.2386646,4.5,4.3265696
4.3,4.198458,4.5,4.3351746,4.6,4.4740686
4.5,4.3410063,4.6,4.4617724,4.7,4.546004
4.6,4.482667,4.7,4.5393653,4.7,4.540879
4.7,4.5859027,4.7,4.568451,4.7,4.5111914
4.7,4.5540442,4.7,4.513138,4.6,4.4409776
4.7,4.5449834,4.6,4.486811,4.5,4.397554
4.6,4.5085745,4.5,4.4343095,4.4,4.3314724
4.5,4.407528,4.4,4.310178,4.3,4.212304
4.4,4.342951,4.3,4.2459493,4.2,4.162333
4.3,4.254085,4.2,4.156683,4.1,4.082642
4.2,4.18977,4.1,4.138673,4.3,4.1071935
4.1,4.115415,4.3,4.1847568,4.6,4.376964
4.3,4.2058954,4.6,4.401211,4.8,4.5640216
4.6,4.4692097,4.8,4.6303473,4.9,4.7223964
4.8,4.6517467,4.9,4.7412014,4.8,4.7659326
4.9,4.760448,4.8,4.787331,4.9,4.7936826
4.8,4.7459674,4.9,4.721828,4.8,4.6664457
4.9,4.6613603,4.8,4.626628,4.7,4.557119
4.8,4.6516547,4.7,4.600076,4.6,4.5155673
4.7,4.5948286,4.6,4.535495,4.5,4.4451714
4.6,4.515977,4.5,4.4530163,4.4,4.3627596
4.5,4.4241104,4.4,4.3361187,4.3,4.238633
4.4,4.3437366,4.3,4.246809,4.2,4.160792
4.3,4.2438745,4.2,4.2126865,4.4,4.199627
4.2,4.1709456,4.4,4.2496552,4.6,4.3386207
4.4,4.199275,4.6,4.330397,4.8,4.4584327
4.6,4.425364,4.8,4.5314775,4.8,4.5882797
4.8,4.563909,4.8,4.617532,4.8,4.611098
4.8,4.630143,4.8,4.607282,4.7,4.5397625
4.8,4.621831,4.7,4.559248,4.6,4.458494
4.7,4.583728,4.6,4.4971714,4.5,4.3774023
4.6,4.5226808,4.5,4.4347973,4.4,4.3202786
4.5,4.393152,4.4,4.2923207,4.3,4.203499
4.4,4.322201,4.3,4.2249894,4.2,4.1502085
4.3,4.2614393,4.2,4.174937,4.1,4.11135
4.2,4.1755548,4.1,4.1769753,4.5,4.2375617
4.1,4.1450834,4.5,4.309866,4.8,4.510836
4.5,4.303154,4.8,4.536581,5.1000004,4.694837
4.8,4.65438,5.1000004,4.8217425,5.1000004,4.9023237
5.1000004,4.7954426,5.1000004,4.850899,5.1000004,4.864249
5.1000004,4.901116,5.1000004,4.8746634,5.0,4.827463
5.1000004,4.843095,5.0,4.7866516,4.9,4.7064843
5.0,4.8066683,4.9,4.741119,4.8,4.649933
4.9,4.6948442,4.8,4.6247916,4.6,4.5241113
4.8,4.619465,4.6,4.547443,4.5,4.4480247
4.6,4.559592,4.5,4.4777565,4.4,4.368585
4.5,4.4345765,4.4,4.3363585,4.3,4.232018
4.4,4.328947,4.3,4.244209,4.2,4.180269
4.3,4.216686,4.2,4.2543073,4.4,4.3347836
4.2,4.1964607,4.4,4.342897,4.7,4.4855056
4.4,4.3218045,4.7,4.508025,4.9,4.634724
4.7,4.4727955,4.9,4.592935,4.9,4.649646
4.9,4.6804123,4.9,4.6694407,4.8,4.6089306
4.9,4.689179,4.8,4.6450834,4.7,4.555396
